Date,Close/Last,Volume,Open,High,Low
02/14/2023,$118.76,616018,$117.99,$119.64,$117.635
02/13/2023,$118.48,374226,$117.53,$118.51,$117.45
02/10/2023,$117.35,661962,$117.55,$117.85,$116.80
02/09/2023,$118.70,635978,$120.53,$120.64,$118.18
02/08/2023,$118.61,872221,$118.64,$119.51,$118.22
02/07/2023,$119.84,538364,$118.11,$120.185,$117.82
02/06/2023,$119.72,519551,$119.95,$120.29,$119.345
02/03/2023,$120.63,1098469,$120.18,$121.91,$120.09
02/02/2023,$122.97,866463,$122.71,$123.275,$122.19
02/01/2023,$121.03,853971,$119.37,$121.42,$118.30
01/31/2023,$118.53,1270407,$116.63,$118.57,$116.57
01/30/2023,$116.09,1587784,$116.51,$117.06,$115.71
01/27/2023,$113.21,957898,$112.55,$114.02,$112.25
01/26/2023,$114.10,1869697,$112.75,$114.69,$112.30
01/25/2023,$116.16,1310862,$115.42,$116.519,$114.51
01/24/2023,$116.19,1022067,$116.04,$116.57,$115.79
01/23/2023,$116.71,1059925,$115.64,$117.02,$115.595
01/20/2023,$117.12,728454,$115.56,$117.15,$115.21
01/19/2023,$115.67,891052,$114.85,$116.13,$114.65
01/18/2023,$117.08,1394903,$118.06,$118.80,$116.92
01/17/2023,$116.21,826789,$116.22,$117.44,$115.74
01/13/2023,$117.01,755604,$115.72,$117.15,$115.71
01/12/2023,$116.68,1082805,$115.31,$116.69,$114.13
01/11/2023,$114.87,785947,$114.21,$114.92,$113.99
01/10/2023,$113.42,1093438,$112.31,$113.43,$112.02
01/09/2023,$111.44,1481813,$110.70,$112.88,$110.70
01/06/2023,$109.11,821046,$106.58,$109.382,$105.50
01/05/2023,$106.16,853435,$107.31,$107.34,$106.00
01/04/2023,$106.89,819234,$107.12,$107.17,$105.72
01/03/2023,$103.98,928761,$104.04,$105.07,$103.28
12/30/2022,$103.19,442585,$102.81,$103.29,$102.36
12/29/2022,$104.11,546766,$103.39,$104.35,$103.28
12/28/2022,$101.81,635395,$102.87,$103.43,$101.78
12/27/2022,$103.34,523535,$103.33,$103.88,$102.77
12/23/2022,$103.50,760582,$103.22,$103.7072,$102.66
12/22/2022,$103.98,981584,$104.18,$104.23,$102.65
12/21/2022,$104.80,756724,$104.81,$105.555,$104.49
12/20/2022,$104.49,1162332,$103.91,$104.54,$103.60
12/19/2022,$104.30,886153,$105.37,$105.5006,$103.97
12/16/2022,$105.36,1505621,$104.71,$105.50,$104.11
12/15/2022,$105.58,928369,$107.89,$108.0818,$105.35
12/14/2022,$109.71,707480,$109.88,$111.00,$109.01
12/13/2022,$109.81,1050870,$112.22,$112.82,$109.31
12/12/2022,$108.36,951715,$107.22,$108.38,$107.17
12/09/2022,$107.29,543207,$107.47,$108.05,$107.23
12/08/2022,$107.82,902639,$107.16,$108.355,$106.55
12/07/2022,$107.87,1010535,$107.49,$108.06,$106.75
12/06/2022,$107.77,870997,$109.49,$109.49,$107.28
12/05/2022,$110.27,661183,$110.76,$111.25,$109.945
12/02/2022,$112.03,906897,$111.16,$112.49,$110.64
12/01/2022,$112.01,1000860,$111.59,$112.39,$111.02
11/30/2022,$110.87,1019534,$107.92,$110.93,$107.50
11/29/2022,$106.92,831317,$107.34,$107.49,$106.39
11/28/2022,$108.00,808837,$109.62,$110.19,$107.80
11/25/2022,$110.65,411187,$109.82,$110.66,$109.79
11/23/2022,$109.85,931638,$109.06,$110.04,$108.97
11/22/2022,$109.62,735501,$108.45,$109.67,$107.984
11/21/2022,$108.50,889787,$109.47,$109.85,$108.47
11/18/2022,$108.79,1213963,$109.71,$109.73,$108.25
11/17/2022,$111.82,2140673,$110.50,$112.18,$110.44
11/16/2022,$111.06,1226335,$111.18,$111.43,$109.87
11/15/2022,$109.81,1627550,$110.33,$111.04,$108.08
11/14/2022,$108.83,1133713,$109.10,$109.81,$108.36
11/11/2022,$110.17,1997216,$109.04,$110.55,$108.54
11/10/2022,$107.18,2371170,$103.81,$107.19,$103.56
11/09/2022,$97.55,947809,$97.94,$98.62,$97.47
11/08/2022,$97.97,1403750,$97.87,$99.255,$96.74
11/07/2022,$97.57,1213203,$96.95,$97.735,$96.14
11/04/2022,$96.02,1221337,$95.68,$96.18,$94.535
11/03/2022,$92.69,1126704,$93.31,$94.32,$92.67
11/02/2022,$93.97,1372379,$96.66,$97.16,$93.97
11/01/2022,$95.84,831339,$97.21,$97.39,$95.17
10/31/2022,$96.06,986162,$96.48,$96.89,$96.05
10/28/2022,$97.71,1437980,$96.58,$97.86,$96.55
10/27/2022,$97.44,1024867,$97.73,$98.90,$97.23
10/26/2022,$97.76,1991300,$96.23,$99.14,$96.15
10/25/2022,$96.32,2401430,$96.58,$97.2902,$96.0256
10/24/2022,$91.01,1447806,$90.62,$91.19,$89.19
10/21/2022,$90.88,1722413,$88.44,$90.96,$88.02
10/20/2022,$86.91,1103436,$86.91,$88.46,$86.71
10/19/2022,$86.73,1086425,$87.71,$87.97,$86.295
10/18/2022,$89.02,1526752,$90.22,$90.31,$88.33
10/17/2022,$86.85,1362674,$86.41,$87.53,$86.36
10/14/2022,$84.61,1207758,$86.70,$87.58,$84.515
10/13/2022,$85.15,1515186,$80.98,$85.38,$80.50
